fecha,dia_semana,es_fin_de_semana,n_total,n_low,n_medium,n_high,n_presentes,N02BE_demand,N05B_demand,M01AB_demand,total_demand
2014-04-24,3,0,102,56,25,21,102,179.75,14.38,9.18,203.31
2014-04-25,4,0,103,57,27,19,103,172.29,25.24,11.94,209.47
2014-04-26,5,1,105,58,28,19,75,176.9,29.42,15.99,222.31
2014-04-27,6,1,105,60,26,19,70,119.94,4.77,15.1,139.81
2014-04-28,0,0,106,60,26,20,106,204.14,22.1,5.35,231.58999999999997
2014-04-29,1,0,105,58,27,20,105,213.03,15.94,12.57,241.54
2014-04-30,2,0,106,60,27,19,106,303.54,28.43,15.78,347.75
2014-05-01,3,0,105,58,28,19,105,1.2,0.0,0.0,1.2
2014-05-02,4,0,104,56,32,16,104,271.89,43.15,22.75,337.78999999999996
2014-05-03,5,1,104,56,31,17,69,63.74,10.95,13.6,88.28999999999999
2014-05-04,6,1,102,53,31,18,75,99.39,6.57,5.89,111.85000000000001
2014-05-05,0,0,99,51,31,17,99,135.79,18.37,11.04,165.2
2014-05-06,1,0,102,54,32,16,102,154.04,27.24,23.15,204.43
2014-05-07,2,0,104,56,31,17,104,117.17,22.87,11.61,151.64999999999998
2014-05-08,3,0,104,56,33,15,104,141.19,26.86,6.62,174.67000000000002
2014-05-09,4,0,103,55,36,12,103,111.28,33.07,5.3,149.65
2014-05-10,5,1,105,57,35,13,66,175.56,35.0,12.83,223.39000000000001
2014-05-11,6,1,107,57,36,14,71,81.25,19.42,5.57,106.24000000000001
2014-05-12,0,0,107,57,36,14,107,86.49,23.49,11.76,121.74
2014-05-13,1,0,104,54,36,14,104,223.44,20.49,10.96,254.89000000000001
2014-05-14,2,0,105,54,35,16,105,167.67,10.41,2.95,181.02999999999997
2014-05-15,3,0,103,56,31,16,103,131.25,20.26,7.06,158.57
2014-05-16,4,0,104,58,31,15,104,156.68,27.86,16.73,201.27
2014-05-17,5,1,106,59,31,16,77,182.08,33.15,7.37,222.60000000000002
2014-05-18,6,1,105,58,33,14,72,42.74,14.58,8.58,65.9
2014-05-19,0,0,104,57,32,15,104,86.64,14.3,24.76,125.7
2014-05-20,1,0,104,56,32,16,104,189.52,27.89,3.36,220.77000000000004
2014-05-21,2,0,104,57,32,15,104,104.87,16.28,5.85,127.0
2014-05-22,3,0,103,56,31,16,103,55.29,20.1,10.82,86.21000000000001
2014-05-23,4,0,102,54,34,14,102,117.28,20.58,14.19,152.05
2014-05-24,5,1,102,54,32,16,72,136.81,28.75,9.39,174.95
2014-05-25,6,1,104,55,33,16,72,34.0,21.73,6.39,62.120000000000005
2014-05-26,0,0,105,56,32,17,105,125.63,19.88,9.21,154.72
2014-05-27,1,0,103,53,33,17,103,196.87,34.92,0.25,232.04000000000002
2014-05-28,2,0,103,53,31,19,103,72.32,25.22,4.45,101.99
2014-05-29,3,0,100,51,32,17,100,180.73,35.43,13.25,229.41
2014-05-30,4,0,102,50,34,18,102,144.23,40.86,10.82,195.90999999999997
2014-05-31,5,1,103,52,32,19,69,128.62,25.89,20.28,174.79
2014-06-01,6,1,102,50,34,18,74,51.0,11.87,2.82,65.69
2014-06-02,0,0,103,50,33,20,103,162.92,47.49,16.16,226.57
2014-06-03,1,0,102,48,35,19,102,165.71,20.03,11.69,197.43
2014-06-04,2,0,103,48,35,20,103,166.59,18.45,3.5,188.54
2014-06-05,3,0,103,47,34,22,103,156.71,12.12,1.82,170.65
2014-06-06,4,0,103,48,33,22,103,113.7,44.98,22.24,180.92000000000002
2014-06-07,5,1,103,49,33,21,75,165.62,21.22,37.18,224.02
2014-06-08,6,1,103,49,33,21,73,53.75,22.57,4.29,80.61
2014-06-09,0,0,102,49,32,21,102,122.23,48.48,26.62,197.33
2014-06-10,1,0,103,51,31,21,103,158.66,46.77,35.18,240.61
2014-06-11,2,0,102,51,30,21,102,87.4,45.51,18.35,151.26
2014-06-12,3,0,103,52,29,22,103,114.26,34.16,18.64,167.06
2014-06-13,4,0,105,53,31,21,105,70.48,31.69,3.82,105.99
2014-06-14,5,1,105,53,31,21,79,42.94,27.28,16.91,87.13
2014-06-15,6,1,105,52,31,22,75,40.04,13.63,1.42,55.09
2014-06-16,0,0,105,52,31,22,105,81.87,33.4,19.39,134.66000000000003
2014-06-17,1,0,107,55,30,22,107,103.31,36.02,21.36,160.69
2014-06-18,2,0,107,55,31,21,107,131.72,18.93,9.04,159.69
2014-06-19,3,0,106,54,31,21,106,102.99,23.03,12.49,138.51
2014-06-20,4,0,106,54,29,23,106,100.46,26.17,34.34,160.97
2014-06-21,5,1,105,56,28,21,67,68.59,27.65,25.3,121.54
2014-06-22,6,1,103,54,29,20,76,87.37,19.52,15.46,122.35
2014-06-23,0,0,104,53,30,21,104,175.79,35.46,10.74,221.99
2014-06-24,1,0,104,53,30,21,104,114.89,65.88,12.66,193.42999999999998
2014-06-25,2,0,104,53,32,19,104,232.1,53.88,30.52,316.5
2014-06-26,3,0,103,52,31,20,103,131.44,41.49,11.82,184.75
2014-06-27,4,0,102,50,31,21,102,224.16,37.94,18.58,280.68
2014-06-28,5,1,102,50,32,20,67,91.78,36.62,1.78,130.18
2014-06-29,6,1,105,54,31,20,75,49.76,2.11,0.05,51.919999999999995
2014-06-30,0,0,105,52,31,22,105,175.22,18.62,26.69,220.53
2014-07-01,1,0,105,52,31,22,105,133.06,30.63,18.83,182.51999999999998
2014-07-02,2,0,104,51,33,20,104,151.44,20.96,12.42,184.82
2014-07-03,3,0,105,53,32,20,105,86.26,21.45,8.34,116.05000000000001
2014-07-04,4,0,105,54,32,19,105,73.65,39.99,16.46,130.10000000000002
2014-07-05,5,1,105,53,34,18,75,187.57,27.91,11.86,227.33999999999997
2014-07-06,6,1,105,52,33,20,76,53.71,24.08,15.93,93.72
2014-07-07,0,0,105,53,31,21,105,90.97,31.85,8.34,131.16
2014-07-08,1,0,105,53,31,21,105,99.47,10.05,26.29,135.81
2014-07-09,2,0,104,51,32,21,104,92.93,18.77,13.05,124.75
2014-07-10,3,0,104,52,32,20,104,144.66,92.23,9.32,246.20999999999998
2014-07-11,4,0,105,52,33,20,105,115.67,50.9,8.22,174.79
2014-07-12,5,1,103,52,33,18,76,142.68,30.26,29.92,202.86
2014-07-13,6,1,102,51,34,17,73,84.3,5.76,5.62,95.68
2014-07-14,0,0,102,51,34,17,102,78.59,55.26,16.91,150.76
2014-07-15,1,0,103,51,35,17,103,104.82,54.44,10.7,169.95999999999998
2014-07-16,2,0,101,51,33,17,101,89.47,32.8,13.43,135.7
2014-07-17,3,0,102,51,34,17,102,170.07,39.09,6.98,216.14
2014-07-18,4,0,98,50,33,15,98,93.77,15.55,26.9,136.22
2014-07-19,5,1,98,53,31,14,65,36.97,21.39,20.38,78.74
2014-07-20,6,1,98,53,32,13,62,36.28,10.86,7.31,54.45
2014-07-21,0,0,99,53,33,13,99,129.68,32.17,7.87,169.72000000000003
2014-07-22,1,0,100,53,35,12,100,60.47,17.05,11.94,89.46
2014-07-23,2,0,100,54,35,11,100,51.87,50.32,6.22,108.41
2014-07-24,3,0,101,55,35,11,101,154.71,12.62,11.89,179.22000000000003
2014-07-25,4,0,101,55,33,13,101,69.59,39.71,12.44,121.74000000000001
2014-07-26,5,1,101,55,33,13,69,167.83,29.37,9.82,207.02
2014-07-27,6,1,101,55,33,13,65,42.53,10.16,8.48,61.17
2014-07-28,0,0,102,55,34,13,102,58.61,22.3,5.56,86.47
2014-07-29,1,0,104,54,36,14,104,89.54,43.03,6.24,138.81
2014-07-30,2,0,105,54,36,15,105,95.84,39.61,2.75,138.2
2014-07-31,3,0,104,54,34,16,104,76.64,22.63,9.42,108.69
2014-08-01,4,0,102,52,34,16,102,96.0,48.38,6.76,151.14
2014-08-02,5,1,101,51,34,16,74,145.96,29.66,16.5,192.12
2014-08-03,6,1,101,51,33,17,71,26.74,13.81,17.46,58.01
2014-08-04,0,0,103,53,34,16,103,151.07,38.92,12.39,202.38
2014-08-05,1,0,104,54,34,16,104,122.29,25.33,6.45,154.07
2014-08-06,2,0,104,55,33,16,104,120.57,20.38,18.28,159.23
2014-08-07,3,0,106,57,33,16,106,235.7,35.11,11.46,282.27
2014-08-08,4,0,103,55,32,16,103,87.79,32.39,16.11,136.29000000000002
2014-08-09,5,1,104,55,33,16,77,98.18,61.35,13.0,172.53
2014-08-10,6,1,105,55,34,16,75,15.86,10.17,12.01,38.04
2014-08-11,0,0,105,56,32,17,105,140.8,50.88,28.2,219.88
2014-08-12,1,0,104,55,31,18,104,68.31,23.86,1.0,93.17
2014-08-13,2,0,105,54,32,19,105,140.96,31.19,5.78,177.93
2014-08-14,3,0,105,53,33,19,105,101.35,38.34,14.75,154.44
2014-08-15,4,0,106,52,33,21,106,94.2,44.6,17.42,156.22000000000003
2014-08-16,5,1,106,54,30,22,76,98.38,70.62,35.17,204.17000000000002
2014-08-17,6,1,106,55,30,21,80,35.98,19.09,2.29,57.35999999999999
2014-08-18,0,0,104,53,30,21,104,114.93,58.96,17.4,191.29000000000002
2014-08-19,1,0,102,51,30,21,102,110.98,38.53,47.84,197.35
2014-08-20,2,0,102,51,31,20,102,62.24,28.0,20.98,111.22000000000001
2014-08-21,3,0,103,50,33,20,103,121.37,46.79,12.34,180.5
2014-08-22,4,0,102,50,33,19,102,129.08,45.48,24.1,198.66
2014-08-23,5,1,100,48,33,19,67,114.07,13.77,11.35,139.19
2014-08-24,6,1,99,49,32,18,72,33.32,30.56,11.61,75.49
2014-08-25,0,0,101,50,33,18,101,142.58,61.23,14.65,218.46
2014-08-26,1,0,104,50,35,19,104,215.34,41.48,8.34,265.15999999999997
2014-08-27,2,0,103,50,34,19,103,146.47,42.13,12.37,200.97
2014-08-28,3,0,105,53,34,18,105,227.3,56.5,7.6,291.40000000000003
2014-08-29,4,0,105,53,34,18,105,185.71,51.85,21.69,259.25
2014-08-30,5,1,105,53,35,17,72,63.91,34.21,12.19,110.31
2014-08-31,6,1,105,53,38,14,67,68.47,31.29,0.0,99.75999999999999
2014-09-01,0,0,105,53,37,15,105,111.47,44.68,10.49,166.64000000000001
2014-09-02,1,0,102,52,35,15,102,141.37,20.47,7.05,168.89000000000001
2014-09-03,2,0,100,48,37,15,100,149.39,35.08,20.86,205.32999999999998
2014-09-04,3,0,100,48,36,16,100,115.1,61.27,18.96,195.33
2014-09-05,4,0,103,52,35,16,103,107.72,43.97,11.84,163.53
2014-09-06,5,1,102,51,34,17,69,74.65,78.73,18.53,171.91
2014-09-07,6,1,101,54,31,16,73,34.85,21.15,6.02,62.019999999999996
2014-09-08,0,0,104,56,32,16,104,144.26,39.65,2.8,186.71
2014-09-09,1,0,104,56,32,16,104,204.78,45.7,19.19,269.67
2014-09-10,2,0,103,56,31,16,103,259.98,31.0,13.78,304.76
2014-09-11,3,0,104,56,31,17,104,223.04,41.47,0.61,265.12
2014-09-12,4,0,104,55,32,17,104,139.32,52.3,9.58,201.20000000000002
2014-09-13,5,1,104,56,30,18,70,261.84,50.56,10.28,322.67999999999995
2014-09-14,6,1,107,58,31,18,78,102.49,15.31,5.03,122.83
2014-09-15,0,0,105,57,30,18,105,199.02,25.63,4.47,229.12
2014-09-16,1,0,103,55,30,18,103,409.24,35.53,14.21,458.97999999999996
2014-09-17,2,0,104,55,30,19,104,275.6,28.31,9.22,313.13000000000005
2014-09-18,3,0,103,54,30,19,103,303.4,19.33,11.11,333.84
2014-09-19,4,0,102,53,29,20,102,155.93,23.39,7.68,187.0
2014-09-20,5,1,100,50,30,20,67,92.99,34.86,17.62,145.47
2014-09-21,6,1,99,48,30,21,65,52.1,18.74,4.61,75.45
2014-09-22,0,0,101,47,32,22,101,233.86,30.82,14.02,278.7
2014-09-23,1,0,103,49,31,23,103,177.13,32.24,14.17,223.54
2014-09-24,2,0,103,50,31,22,103,169.6,43.13,26.09,238.82
2014-09-25,3,0,103,51,30,22,103,340.25,44.16,21.09,405.49999999999994
2014-09-26,4,0,101,51,27,23,101,254.88,62.0,18.32,335.2
2014-09-27,5,1,102,51,30,21,73,226.47,47.55,16.85,290.87
2014-09-28,6,1,102,53,30,19,69,97.48,15.8,0.62,113.9
2014-09-29,0,0,101,53,30,18,101,200.04,33.57,24.27,257.88
2014-09-30,1,0,100,51,32,17,100,404.13,27.86,34.0,465.99
2014-10-01,2,0,102,53,32,17,102,301.25,41.67,7.61,350.53000000000003
2014-10-02,3,0,101,53,32,16,101,161.82,29.53,5.97,197.32
2014-10-03,4,0,102,55,31,16,102,297.95,32.17,14.64,344.76
2014-10-04,5,1,101,52,33,16,68,226.88,30.59,15.15,272.61999999999995
2014-10-05,6,1,101,53,33,15,66,79.93,2.57,5.05,87.55
2014-10-06,0,0,100,51,36,13,100,468.64,35.84,14.08,518.5600000000001
2014-10-07,1,0,99,49,34,16,99,273.4,48.58,9.76,331.73999999999995
2014-10-08,2,0,98,49,33,16,98,323.83,48.09,12.52,384.43999999999994
2014-10-09,3,0,99,50,34,15,99,319.15,27.26,2.94,349.34999999999997
2014-10-10,4,0,100,51,32,17,100,192.46,66.31,14.36,273.13
2014-10-11,5,1,99,50,31,18,74,171.78,37.75,11.42,220.95
2014-10-12,6,1,98,49,32,17,70,102.03,17.0,10.21,129.24
2014-10-13,0,0,98,49,31,18,98,206.06,29.94,6.5,242.5
2014-10-14,1,0,97,48,31,18,97,207.24,20.26,11.64,239.14
2014-10-15,2,0,99,47,33,19,99,157.3,42.39,4.54,204.23
2014-10-16,3,0,99,46,33,20,99,388.61,28.79,27.68,445.08000000000004
2014-10-17,4,0,98,45,33,20,98,277.9,66.54,12.06,356.5
2014-10-18,5,1,98,45,32,21,75,105.32,66.7,17.64,189.65999999999997
2014-10-19,6,1,98,45,33,20,71,65.63,25.68,13.45,104.76
2014-10-20,0,0,98,46,32,20,98,230.45,72.54,12.91,315.90000000000003
2014-10-21,1,0,98,47,31,20,98,94.15,32.33,9.19,135.67000000000002
2014-10-22,2,0,97,46,31,20,97,133.78,21.33,13.3,168.41000000000003
2014-10-23,3,0,98,46,32,20,98,209.7,20.27,6.03,236.0
2014-10-24,4,0,100,49,32,19,100,325.27,52.06,13.34,390.66999999999996
2014-10-25,5,1,100,49,32,19,76,161.67,54.73,8.61,225.01
2014-10-26,6,1,99,50,30,19,73,149.19,13.36,12.74,175.29000000000002
2014-10-27,0,0,101,51,31,19,101,168.09,47.85,31.73,247.67
2014-10-28,1,0,101,53,29,19,101,276.37,61.38,15.91,353.66
2014-10-29,2,0,102,53,31,18,102,279.73,53.22,18.11,351.06000000000006
2014-10-30,3,0,101,50,33,18,101,135.11,30.97,0.98,167.06
2014-10-31,4,0,100,50,32,18,100,203.87,44.16,7.01,255.04
2014-11-01,5,1,100,50,32,18,72,208.89,59.26,8.4,276.54999999999995
2014-11-02,6,1,103,52,33,18,68,9.48,8.8,14.52,32.8
2014-11-03,0,0,102,53,31,18,102,184.5,51.9,24.83,261.23
2014-11-04,1,0,100,53,29,18,100,175.94,39.74,22.85,238.53
2014-11-05,2,0,100,52,28,20,100,181.34,53.78,0.44,235.56
2014-11-06,3,0,101,53,28,20,101,157.77,61.54,23.65,242.96
2014-11-07,4,0,101,53,28,20,101,105.85,88.44,24.79,219.07999999999998
2014-11-08,5,1,102,54,26,22,65,148.57,58.06,52.4,259.03
2014-11-09,6,1,99,51,26,22,71,109.01,50.85,15.29,175.15
2014-11-10,0,0,102,54,26,22,102,166.69,34.7,4.63,206.01999999999998
2014-11-11,1,0,101,56,24,21,101,159.17,45.79,33.4,238.35999999999999
2014-11-12,2,0,102,57,26,19,102,171.34,41.14,10.93,223.41000000000003
2014-11-13,3,0,99,54,26,19,99,220.58,24.83,29.61,275.02000000000004
2014-11-14,4,0,99,53,27,19,99,195.94,51.14,20.13,267.21
2014-11-15,5,1,99,52,29,18,71,111.7,48.91,16.74,177.35000000000002
2014-11-16,6,1,99,52,29,18,72,85.15,32.03,7.63,124.81
2014-11-17,0,0,99,52,28,19,99,152.32,60.22,33.65,246.19
2014-11-18,1,0,99,52,28,19,99,127.88,26.58,9.73,164.18999999999997
2014-11-19,2,0,98,52,27,19,98,207.81,46.47,4.32,258.6
2014-11-20,3,0,97,51,29,17,97,122.58,33.54,13.1,169.22
2014-11-21,4,0,98,53,28,17,98,145.31,40.7,4.58,190.59
2014-11-22,5,1,96,50,29,17,64,98.65,35.08,19.27,153.00000000000003
2014-11-23,6,1,98,51,28,19,66,98.49,27.21,15.33,141.03
2014-11-24,0,0,99,51,28,20,99,203.34,52.06,16.12,271.52
2014-11-25,1,0,98,49,29,20,98,124.14,50.18,21.45,195.76999999999998
2014-11-26,2,0,98,51,27,20,98,139.64,35.38,11.35,186.36999999999998
2014-11-27,3,0,98,50,29,19,98,140.53,24.58,27.04,192.15
2014-11-28,4,0,99,51,29,19,99,107.67,33.59,11.84,153.1
2014-11-29,5,1,99,51,30,18,65,134.08,39.23,11.4,184.71
2014-11-30,6,1,100,51,32,17,69,103.89,22.26,19.68,145.83
2014-12-01,0,0,100,50,32,18,100,246.75,51.63,15.59,313.96999999999997
2014-12-02,1,0,101,54,30,17,101,51.24,69.53,23.77,144.54000000000002
2014-12-03,2,0,101,54,30,17,101,112.42,62.3,13.28,188.0
2014-12-04,3,0,102,53,31,18,102,196.15,44.29,10.24,250.68
2014-12-05,4,0,102,53,32,17,102,194.22,40.73,6.44,241.39
2014-12-06,5,1,104,54,32,18,78,62.57,22.21,12.18,96.96000000000001
2014-12-07,6,1,103,53,31,19,73,221.92,15.17,18.75,255.83999999999997
2014-12-08,0,0,101,51,31,19,101,135.08,24.4,3.08,162.56000000000003
2014-12-09,1,0,103,53,30,20,103,184.64,32.62,3.08,220.34
2014-12-10,2,0,103,53,30,20,103,351.75,79.33,13.25,444.33
2014-12-11,3,0,105,54,31,20,105,114.78,59.51,9.1,183.39
2014-12-12,4,0,105,55,30,20,105,292.97,52.5,24.7,370.17
2014-12-13,5,1,105,54,32,19,75,128.66,28.21,3.7,160.57
2014-12-14,6,1,105,54,32,19,71,187.74,27.06,37.98,252.78
2014-12-15,0,0,104,56,30,18,104,292.97,37.7,19.39,350.06
2014-12-16,1,0,103,56,31,16,103,157.89,59.38,20.52,237.79
2014-12-17,2,0,105,56,35,14,105,194.88,48.19,8.23,251.29999999999998
2014-12-18,3,0,104,56,32,16,104,184.69,23.83,15.62,224.14
2014-12-19,4,0,103,54,33,16,103,3.88,0.0,0.83,4.71
2014-12-20,5,1,104,57,32,15,72,152.16,20.67,3.07,175.89999999999998
2014-12-21,6,1,102,57,30,15,69,244.6,15.24,12.63,272.46999999999997
2014-12-22,0,0,104,59,31,14,104,136.9,111.12,8.71,256.73
2014-12-23,1,0,105,59,32,14,105,284.62,33.4,28.85,346.87
2014-12-24,2,0,105,60,31,14,105,292.72,40.85,3.03,336.6
2014-12-25,3,0,105,60,31,14,105,220.5,42.58,22.81,285.89
2014-12-26,4,0,102,58,30,14,102,205.18,61.8,10.08,277.06
2014-12-27,5,1,102,58,28,16,66,172.8,60.22,22.6,255.62
2014-12-28,6,1,102,57,29,16,75,402.15,35.43,7.18,444.76
