fecha,dia_semana,es_fin_de_semana,n_total,n_low,n_medium,n_high,n_presentes,N02BE_demand,N05B_demand,M01AB_demand,total_demand,nombre_dia,mes,N02BE_demand_lag1,N02BE_demand_lag7,N02BE_demand_rolling7,N05B_demand_lag1,N05B_demand_lag7,N05B_demand_rolling7,M01AB_demand_lag1,M01AB_demand_lag7,M01AB_demand_rolling7
2014-02-02,6,1,103,60,28,15,74,63.97,13.2,20.72,97.89,Domingo,2,206.03,105.49,141.07142857142858,28.13,9.1,28.80857142857143,10.46,12.37,12.101428571428572
2014-02-03,0,0,102,59,28,15,102,222.31,38.45,15.01,275.77,Lunes,2,63.97,165.91,149.1285714285714,13.2,41.76,28.335714285714285,20.72,12.17,12.507142857142856
2014-02-04,1,0,102,58,26,18,102,208.68,22.07,4.35,235.1,Martes,2,222.31,95.72,165.2657142857143,38.45,53.73,23.812857142857144,15.01,15.9,10.857142857142858
2014-02-05,2,0,103,58,28,17,103,220.46,39.95,10.72,271.13000000000005,Miercoles,2,208.68,96.72,182.94285714285712,22.07,24.63,26.001428571428573,4.35,15.37,10.192857142857145
2014-02-06,3,0,101,54,30,17,101,278.59,45.13,11.27,334.98999999999995,Jueves,2,220.46,174.53,197.80857142857144,39.95,17.26,29.982857142857142,10.72,7.85,10.68142857142857
2014-02-07,4,0,102,55,29,18,102,142.86,51.71,9.68,204.25000000000003,Viernes,2,278.59,184.62,191.84285714285713,45.13,22.95,34.09142857142857,11.27,2.24,11.744285714285715
2014-02-08,5,1,102,56,29,17,66,162.2,29.14,11.59,202.93,Sabado,2,142.86,206.03,185.58142857142857,51.71,28.13,34.23571428571429,9.68,10.46,11.905714285714286
2014-02-09,6,1,102,56,29,17,69,148.56,21.77,12.66,182.99,Domingo,2,162.2,63.97,197.66571428571427,29.14,13.2,35.46,11.59,20.72,10.754285714285714
2014-02-10,0,0,101,57,27,17,101,270.64,50.06,16.42,337.12,Lunes,2,148.56,222.31,204.57,21.77,38.45,37.118571428571435,12.66,15.01,10.955714285714285
2014-02-11,1,0,100,56,26,18,100,297.1,48.9,35.71,381.71,Martes,2,270.64,208.68,217.20142857142855,50.06,22.07,40.95142857142857,16.42,4.35,15.435714285714287
2014-02-12,2,0,100,56,26,18,100,427.59875,22.25,32.07,544.2800000000001,Miercoles,2,297.1,220.46,246.79267857142855,48.9,39.95,38.42285714285714,35.71,10.72,18.485714285714288
2014-02-13,3,0,101,56,27,18,101,332.68,33.35,17.02,383.05,Jueves,2,427.59875,278.59,254.51982142857145,22.25,45.13,36.74,32.07,11.27,19.307142857142857
2014-02-14,4,0,101,56,27,18,101,287.85,32.39,13.76,334.0,Viernes,2,332.68,142.86,275.2326785714286,33.35,51.71,33.980000000000004,17.02,9.68,19.890000000000004
2014-02-15,5,1,101,56,27,18,71,173.87,19.96,4.04,197.87,Sabado,2,287.85,162.2,276.89982142857144,32.39,29.14,32.66857142857143,13.76,11.59,18.81142857142857
2014-02-16,6,1,101,59,24,18,72,167.47,11.06,0.0,178.53,Domingo,2,173.87,148.56,279.60125,19.96,21.77,31.138571428571428,4.04,12.66,17.002857142857145
2014-02-17,0,0,98,58,22,18,98,177.89,28.39,26.3,232.58,Lunes,2,167.47,270.64,266.35125,11.06,50.06,28.042857142857144,0.0,16.42,18.414285714285715
2014-02-18,1,0,98,58,21,19,98,296.32,31.89,27.25,355.46,Martes,2,177.89,297.1,266.2398214285714,28.39,48.9,25.61285714285714,26.3,35.71,17.205714285714286
2014-02-19,2,0,98,58,21,19,98,427.59875,37.83,12.99,490.47,Miercoles,2,296.32,427.59875,266.2398214285714,31.89,22.25,27.83857142857143,27.25,32.07,14.480000000000002
2014-02-20,3,0,98,57,22,19,98,138.6,37.13,26.34,202.07,Jueves,2,427.59875,332.68,238.51410714285717,37.83,33.35,28.37857142857143,12.99,17.02,15.811428571428573
2014-02-21,4,0,100,59,22,19,100,172.21,38.95,21.63,232.79,Viernes,2,138.6,287.85,221.99410714285713,37.13,32.39,29.315714285714282,26.34,13.76,16.935714285714287
2014-02-22,5,1,102,60,22,20,67,114.44,26.77,27.6,168.81,Sabado,2,172.21,173.87,213.50410714285712,38.95,19.96,30.28857142857143,21.63,4.04,20.301428571428573
2014-02-23,6,1,103,60,23,20,66,94.73,21.51,3.84,120.08,Domingo,2,114.44,167.47,203.11267857142857,26.77,11.06,31.781428571428574,27.6,0.0,20.849999999999998
2014-02-24,0,0,103,59,25,19,103,180.51,8.16,27.17,215.84,Lunes,2,94.73,177.89,203.4869642857143,21.51,28.39,28.891428571428573,3.84,26.3,20.974285714285713
2014-02-25,1,0,105,61,24,20,105,245.93,33.65,20.66,300.24,Martes,2,180.51,296.32,196.28839285714284,8.16,31.89,29.142857142857142,27.17,27.25,20.032857142857146
2014-02-26,2,0,104,60,24,20,104,235.36,12.27,19.65,267.28000000000003,Miercoles,2,245.93,427.59875,168.82571428571427,33.65,37.83,25.49142857142857,20.66,12.99,20.98428571428571
2014-02-27,3,0,102,58,24,20,102,225.71,21.55,11.79,259.05,Jueves,2,235.36,138.6,181.27,12.27,37.13,23.26571428571429,19.65,26.34,18.905714285714286
2014-02-28,4,0,101,56,25,20,101,246.82,30.23,27.26,304.31,Viernes,2,225.71,172.21,191.92857142857142,21.55,38.95,22.020000000000003,11.79,21.63,19.71
2014-03-01,5,1,102,60,22,20,75,252.78,17.73,25.06,295.57,Sabado,3,246.82,114.44,211.6914285714286,30.23,26.77,20.72857142857143,27.26,27.6,19.34714285714286
2014-03-02,6,1,103,61,22,20,68,33.01,5.34,13.91,52.25999999999999,Domingo,3,252.78,94.73,202.87428571428572,17.73,21.51,18.41857142857143,25.06,3.84,20.785714285714285
2014-03-03,0,0,103,61,23,19,103,149.73,3.08,14.98,167.79,Lunes,3,33.01,180.51,198.47714285714284,5.34,8.16,17.692857142857143,13.91,27.17,19.044285714285714
2014-03-04,1,0,103,61,22,20,103,324.77,21.67,20.59,367.03,Martes,3,149.73,245.93,209.73999999999998,3.08,33.65,15.981428571428571,14.98,20.66,19.034285714285716
2014-03-05,2,0,103,62,20,21,103,169.58,11.02,12.89,193.49,Miercoles,3,324.77,235.36,200.34285714285716,21.67,12.27,15.802857142857144,20.59,19.65,18.068571428571428
2014-03-06,3,0,102,63,18,21,102,304.1,37.75,11.66,353.51000000000005,Jueves,3,169.58,225.71,211.54142857142855,11.02,21.55,18.117142857142856,12.89,11.79,18.05
2014-03-07,4,0,99,59,20,20,99,165.85,5.8,16.1,187.75,Viernes,3,304.1,246.82,199.97428571428574,37.75,30.23,14.627142857142857,11.66,27.26,16.455714285714286
2014-03-08,5,1,101,60,20,21,69,123.91,22.98,18.12,165.01,Sabado,3,165.85,252.78,181.5642857142857,5.8,17.73,15.377142857142857,16.1,25.06,15.464285714285714
2014-03-09,6,1,101,61,19,21,66,47.96,9.07,4.42,61.45,Domingo,3,123.91,33.01,183.7,22.98,5.34,15.91,18.12,13.91,14.108571428571429
2014-03-10,0,0,101,59,21,21,101,317.71,26.06,28.75,372.52,Lunes,3,47.96,149.73,207.69714285714286,9.07,3.08,19.192857142857143,4.42,14.98,16.075714285714287
2014-03-11,1,0,101,58,23,20,101,205.11,29.76,23.93,258.8,Martes,3,317.71,324.77,190.60285714285718,26.06,21.67,20.34857142857143,28.75,20.59,16.552857142857142
2014-03-12,2,0,101,57,23,21,101,129.67,55.1,26.55,211.32,Miercoles,3,205.11,169.58,184.90142857142857,29.76,11.02,26.645714285714284,23.93,12.89,18.504285714285714
2014-03-13,3,0,104,59,23,22,104,106.9,25.1,10.21,142.21,Jueves,3,129.67,304.1,156.73,55.1,37.75,24.83857142857143,26.55,11.66,18.29714285714286
2014-03-14,4,0,105,61,22,22,105,111.35,27.42,19.5,158.26999999999998,Viernes,3,106.9,165.85,148.9442857142857,25.1,5.8,27.927142857142858,10.21,16.1,18.782857142857146
2014-03-15,5,1,107,61,21,25,78,118.81,43.81,19.36,181.98,Sabado,3,111.35,123.91,148.21571428571428,27.42,22.98,30.90285714285714,19.5,18.12,18.96
2014-03-16,6,1,106,60,19,27,68,57.56,14.4,13.96,85.92000000000002,Domingo,3,118.81,47.96,149.58714285714285,43.81,9.07,31.664285714285715,19.36,4.42,20.322857142857146
2014-03-17,0,0,105,61,18,26,105,260.05,15.4,44.98,320.43,Lunes,3,57.56,317.71,141.35,14.4,26.06,30.141428571428573,13.96,28.75,22.641428571428573
2014-03-18,1,0,107,61,20,26,107,148.69,22.83,41.64,213.16,Martes,3,260.05,205.11,133.29,15.4,29.76,29.15142857142857,44.98,23.93,25.17142857142857
2014-03-19,2,0,107,61,20,26,107,157.02,6.28,20.24,183.54,Miercoles,3,148.69,129.67,137.19714285714286,22.83,55.1,22.177142857142858,41.64,26.55,24.270000000000003
2014-03-20,3,0,106,60,21,25,106,270.9,12.47,15.01,298.38,Jueves,3,157.02,106.9,160.6257142857143,6.28,25.1,20.37285714285714,20.24,10.21,24.955714285714286
2014-03-21,4,0,105,57,22,26,105,281.96,11.95,31.4,325.30999999999995,Viernes,3,270.9,111.35,184.99857142857144,12.47,27.42,18.162857142857142,15.01,19.5,26.655714285714286
2014-03-22,5,1,105,57,23,25,78,138.15,24.48,16.17,178.8,Sabado,3,281.96,118.81,187.76142857142858,11.95,43.81,15.401428571428571,31.4,19.36,26.199999999999996
2014-03-23,6,1,106,56,25,25,74,96.51,0.0,31.76,128.27,Domingo,3,138.15,57.56,193.32571428571427,24.48,14.4,13.344285714285714,16.17,13.96,28.742857142857144
2014-03-24,0,0,104,55,23,26,104,164.18,19.01,29.43,212.62,Lunes,3,96.51,260.05,179.63000000000002,0.0,15.4,13.860000000000001,31.76,44.98,26.521428571428572
2014-03-25,1,0,101,53,23,25,101,260.36,16.94,20.23,297.53000000000003,Martes,3,164.18,148.69,195.58285714285714,19.01,22.83,13.01857142857143,29.43,41.64,23.462857142857143
2014-03-26,2,0,102,54,21,27,102,47.85,20.1,13.21,81.16,Miercoles,3,260.36,157.02,179.98714285714286,16.94,6.28,14.992857142857144,20.23,20.24,22.458571428571425
2014-03-27,3,0,101,54,19,28,101,141.56,15.72,21.89,179.17000000000002,Jueves,3,47.85,270.9,161.51,20.1,12.47,15.457142857142857,13.21,15.01,23.44142857142857
2014-03-28,4,0,104,56,20,28,104,75.14,9.38,15.1,99.62,Viernes,3,141.56,281.96,131.96428571428572,15.72,11.95,15.090000000000002,21.89,31.4,21.11285714285714
2014-03-29,5,1,104,56,21,27,72,114.25,21.33,21.32,156.89999999999998,Sabado,3,75.14,138.15,128.55,9.38,24.48,14.64,15.1,16.17,21.84857142857143
2014-03-30,6,1,105,57,22,26,78,62.52,12.57,15.48,90.57,Domingo,3,114.25,96.51,123.69428571428571,21.33,0.0,16.435714285714287,21.32,31.76,19.52285714285714
2014-03-31,0,0,104,55,23,26,104,106.71,15.87,27.68,150.26,Lunes,3,62.52,164.18,115.48428571428573,12.57,19.01,15.987142857142857,15.48,29.43,19.27285714285714
2014-04-01,1,0,104,55,23,26,104,189.07,15.65,22.6,227.32,Martes,4,106.71,260.36,105.29999999999998,15.87,16.94,15.802857142857144,27.68,20.23,19.611428571428572
2014-04-02,2,0,104,54,23,27,104,159.17,3.03,10.21,172.41,Miercoles,4,189.07,47.85,121.20285714285716,15.65,20.1,13.364285714285714,22.6,13.21,19.18285714285714
2014-04-03,3,0,104,54,24,26,104,132.43,12.39,5.11,149.93,Jueves,4,159.17,141.56,119.89857142857143,3.03,15.72,12.888571428571428,10.21,21.89,16.785714285714285
2014-04-04,4,0,105,55,24,26,105,165.2,24.84,15.9,205.94,Viernes,4,132.43,75.14,132.7642857142857,12.39,9.38,15.097142857142856,5.11,15.1,16.900000000000002
2014-04-05,5,1,105,56,24,25,78,133.85,12.96,10.52,157.33,Sabado,4,165.2,114.25,135.56428571428572,24.84,21.33,13.901428571428571,15.9,21.32,15.357142857142858
2014-04-06,6,1,105,57,23,25,73,94.34,1.18,10.49,106.01,Domingo,4,133.85,62.52,140.10999999999999,12.96,12.57,12.274285714285714,10.52,15.48,14.644285714285715
2014-04-07,0,0,105,59,21,25,105,219.69,11.39,31.24,262.32,Lunes,4,94.34,106.71,156.25,1.18,15.87,11.634285714285713,10.49,27.68,15.152857142857144
2014-04-08,1,0,105,59,22,24,105,135.06,16.81,21.3,173.17000000000002,Martes,4,219.69,189.07,148.53428571428572,11.39,15.65,11.799999999999999,31.24,22.6,14.967142857142857
2014-04-09,2,0,105,58,22,25,105,126.17,6.04,29.83,162.04000000000002,Miercoles,4,135.06,159.17,143.82,16.81,3.03,12.23,21.3,10.21,17.77
2014-04-10,3,0,105,58,24,23,105,126.63,27.0,15.15,168.78,Jueves,4,126.17,132.43,142.99142857142857,6.04,12.39,14.317142857142857,29.83,5.11,19.204285714285714
2014-04-11,4,0,105,58,24,23,105,177.66,5.92,26.89,210.47,Viernes,4,126.63,165.2,144.77142857142857,27.0,24.84,11.614285714285714,15.15,15.9,20.774285714285718
2014-04-12,5,1,106,55,27,24,79,126.32,50.55,33.79,210.66,Sabado,4,177.66,133.85,143.69571428571427,5.92,12.96,16.984285714285715,26.89,10.52,24.09857142857143
2014-04-13,6,1,101,51,28,22,70,25.79,7.38,13.59,46.760000000000005,Domingo,4,126.32,94.34,133.90285714285713,50.55,1.18,17.869999999999997,33.79,10.49,24.541428571428575
2014-04-14,0,0,100,51,27,22,100,188.71,27.69,5.31,221.71,Lunes,4,25.79,219.69,129.47714285714284,7.38,11.39,20.198571428571427,13.59,31.24,20.837142857142858
2014-04-15,1,0,100,52,26,22,100,122.13,34.17,19.47,175.77,Martes,4,188.71,135.06,127.63,27.69,16.81,22.678571428571427,5.31,21.3,20.575714285714287
2014-04-16,2,0,100,52,27,21,100,168.49,1.07,8.86,178.42000000000002,Miercoles,4,122.13,126.17,133.6757142857143,34.17,6.04,21.96857142857143,19.47,29.83,17.580000000000002
2014-04-17,3,0,98,51,26,21,98,109.7,51.19,22.42,183.31,Jueves,4,168.49,126.63,131.25714285714287,1.07,27.0,25.424285714285713,8.86,15.15,18.618571428571425
2014-04-18,4,0,98,53,25,20,98,150.67,24.31,27.9,202.88,Viernes,4,109.7,177.66,127.40142857142858,51.19,5.92,28.05142857142857,22.42,26.89,18.762857142857143
2014-04-19,5,1,99,55,24,20,66,101.18,14.62,29.38,145.18,Sabado,4,150.67,126.32,123.81000000000002,24.31,50.55,22.91857142857143,27.9,33.79,18.132857142857144
2014-04-20,6,1,102,55,26,21,66,0.0,0.0,0.0,0.0,Domingo,4,101.18,25.79,120.1257142857143,14.62,7.38,21.864285714285717,29.38,13.59,16.19142857142857
2014-04-21,0,0,101,53,27,21,101,92.94,22.32,5.8,121.06,Lunes,4,0.0,188.71,106.44428571428571,0.0,27.69,21.09714285714286,0.0,5.31,16.26142857142857
2014-04-22,1,0,101,53,27,21,101,214.46,23.33,23.12,260.91,Martes,4,92.94,122.13,119.63428571428572,22.32,34.17,19.548571428571424,5.8,19.47,16.782857142857143
2014-04-23,2,0,100,54,25,21,100,165.35,20.2,25.94,211.49,Miercoles,4,214.46,168.49,119.18571428571428,23.33,1.07,22.28142857142857,23.12,8.86,19.222857142857144
2014-04-24,3,0,102,56,25,21,102,179.75,14.38,9.18,203.31,Jueves,4,165.35,109.7,129.19285714285712,20.2,51.19,17.02285714285714,25.94,22.42,17.33142857142857
2014-04-25,4,0,103,57,27,19,103,172.29,25.24,11.94,209.47,Viernes,4,179.75,150.67,132.28142857142856,14.38,24.31,17.155714285714286,9.18,27.9,15.051428571428572
2014-04-26,5,1,105,58,28,19,75,176.9,29.42,15.99,222.31,Sabado,4,172.29,101.18,143.09857142857143,25.24,14.62,19.270000000000003,11.94,29.38,13.138571428571428
2014-04-27,6,1,105,60,26,19,70,119.94,4.77,15.1,139.81,Domingo,4,176.9,0.0,160.23285714285717,29.42,0.0,19.951428571428572,15.99,0.0,15.295714285714284
2014-04-28,0,0,106,60,26,20,106,204.14,22.1,5.35,231.59,Lunes,4,119.94,92.94,176.1185714285714,4.77,22.32,19.919999999999998,15.1,5.8,15.231428571428571
2014-04-29,1,0,105,58,27,20,105,213.03,15.94,12.57,241.54,Martes,4,204.14,214.46,175.91428571428568,22.1,23.33,18.864285714285717,5.35,23.12,13.724285714285713
2014-04-30,2,0,106,60,27,19,106,303.54,28.43,15.78,347.75,Miercoles,4,213.03,165.35,195.6557142857143,15.94,20.2,20.04,12.57,25.94,12.272857142857143
2014-05-01,3,0,105,58,28,19,105,1.2,0.0,0.0,1.2,Jueves,5,303.54,179.75,170.14857142857142,28.43,14.38,17.985714285714288,15.78,9.18,10.96142857142857
2014-05-02,4,0,104,56,32,16,104,271.89,43.15,22.75,337.79,Viernes,5,1.2,172.29,184.37714285714284,0.0,25.24,20.544285714285714,0.0,11.94,12.505714285714285
2014-05-03,5,1,104,56,31,17,69,63.74,10.95,13.6,88.28999999999999,Sabado,5,271.89,176.9,168.21142857142854,43.15,29.42,17.905714285714286,22.75,15.99,12.164285714285713
2014-05-04,6,1,102,53,31,18,75,99.39,6.57,5.89,111.85,Domingo,5,63.74,119.94,165.2757142857143,10.95,4.77,18.162857142857142,13.6,15.1,10.848571428571429
2014-05-05,0,0,99,51,31,17,99,135.79,18.37,11.04,165.2,Lunes,5,99.39,204.14,155.51142857142855,6.57,22.1,17.63,5.89,5.35,11.661428571428571
2014-05-06,1,0,102,54,32,16,102,154.04,27.24,23.15,204.43,Martes,5,135.79,213.03,147.0842857142857,18.37,15.94,19.244285714285716,11.04,12.57,13.172857142857142
2014-05-07,2,0,104,56,31,17,104,117.17,22.87,11.61,151.64999999999998,Miercoles,5,154.04,303.54,120.46,27.24,28.43,18.45,23.15,15.78,12.577142857142857
2014-05-08,3,0,104,56,33,15,104,141.19,26.86,6.62,174.67000000000002,Jueves,5,117.17,1.2,140.45857142857142,22.87,0.0,22.287142857142857,11.61,0.0,13.522857142857143
2014-05-09,4,0,103,55,36,12,103,111.28,33.07,5.3,149.65,Viernes,5,141.19,271.89,117.5142857142857,26.86,43.15,20.84714285714286,6.62,22.75,11.03
2014-05-10,5,1,105,57,35,13,66,175.56,35.0,12.83,223.39,Sabado,5,111.28,63.74,133.48857142857145,33.07,10.95,24.282857142857146,5.3,13.6,10.92
2014-05-11,6,1,107,57,36,14,71,81.25,19.42,5.57,106.24,Domingo,5,175.56,99.39,130.89714285714285,35.0,6.57,26.118571428571432,12.83,5.89,10.874285714285714
2014-05-12,0,0,107,57,36,14,107,86.49,23.49,11.76,121.74,Lunes,5,81.25,135.79,123.85428571428572,19.42,18.37,26.85,5.57,11.04,10.977142857142857
2014-05-13,1,0,104,54,36,14,104,223.44,20.49,10.96,254.89,Martes,5,86.49,154.04,133.76857142857142,23.49,27.24,25.885714285714283,11.76,23.15,9.235714285714284
2014-05-14,2,0,105,54,35,16,105,167.67,10.41,2.95,181.03,Miercoles,5,223.44,117.17,140.98285714285714,20.49,22.87,24.10571428571428,10.96,11.61,7.998571428571428
2014-05-15,3,0,103,56,31,16,103,131.25,20.26,7.06,158.57,Jueves,5,167.67,141.19,139.56285714285713,10.41,26.86,23.162857142857145,2.95,6.62,8.061428571428571
2014-05-16,4,0,104,58,31,15,104,156.68,27.86,16.73,201.27,Viernes,5,131.25,111.28,146.04857142857142,20.26,33.07,22.418571428571425,7.06,5.3,9.694285714285714
2014-05-17,5,1,106,59,31,16,77,182.08,33.15,7.37,222.6,Sabado,5,156.68,175.56,146.98,27.86,35.0,22.154285714285713,16.73,12.83,8.914285714285715
2014-05-18,6,1,105,58,33,14,72,42.74,14.58,8.58,65.9,Domingo,5,182.08,81.25,141.47857142857143,33.15,19.42,21.46285714285714,7.37,5.57,9.344285714285714
2014-05-19,0,0,104,57,32,15,104,86.64,14.3,24.76,125.7,Lunes,5,42.74,86.49,141.5,14.58,23.49,20.150000000000002,8.58,11.76,11.20142857142857
2014-05-20,1,0,104,56,32,16,104,189.52,27.89,3.36,220.77000000000004,Martes,5,86.64,223.44,136.65428571428572,14.3,20.49,21.207142857142856,24.76,10.96,10.115714285714287
2014-05-21,2,0,104,57,32,15,104,104.87,16.28,5.85,127.0,Miercoles,5,189.52,167.67,127.68285714285716,27.89,10.41,22.045714285714286,3.36,2.95,10.530000000000001
2014-05-22,3,0,103,56,31,16,103,55.29,20.1,10.82,86.21000000000001,Jueves,5,104.87,131.25,116.83142857142857,16.28,20.26,22.022857142857145,5.85,7.06,11.067142857142857
2014-05-23,4,0,102,54,34,14,102,117.28,20.58,14.19,152.05,Viernes,5,55.29,156.68,111.20285714285714,20.1,27.86,20.982857142857142,10.82,16.73,10.704285714285714
2014-05-24,5,1,102,54,32,16,72,136.81,28.75,9.39,174.95,Sabado,5,117.28,182.08,104.73571428571428,20.58,33.15,20.354285714285716,14.19,7.37,10.992857142857144
2014-05-25,6,1,104,55,33,16,72,34.0,21.73,6.39,62.120000000000005,Domingo,5,136.81,42.74,103.48714285714287,28.75,14.58,21.375714285714285,9.39,8.58,10.680000000000001
2014-05-26,0,0,105,56,32,17,105,125.63,19.88,9.21,154.72,Lunes,5,34.0,86.64,109.05714285714285,21.73,14.3,22.17285714285714,6.39,24.76,8.45857142857143
2014-05-27,1,0,103,53,33,17,103,196.87,34.92,0.25,232.04,Martes,5,125.63,189.52,110.10714285714286,19.88,27.89,23.177142857142858,9.21,3.36,8.014285714285714
2014-05-28,2,0,103,53,31,19,103,72.32,25.22,4.45,101.99,Miercoles,5,196.87,104.87,105.45714285714284,34.92,16.28,24.454285714285714,0.25,5.85,7.814285714285715
2014-05-29,3,0,100,51,32,17,100,180.73,35.43,13.25,229.41,Jueves,5,72.32,55.29,123.37714285714286,25.22,20.1,26.64428571428571,4.45,10.82,8.161428571428571
2014-05-30,4,0,102,50,34,18,102,144.23,40.86,10.82,195.91,Viernes,5,180.73,117.28,127.22714285714287,35.43,20.58,29.541428571428572,13.25,14.19,7.68
2014-05-31,5,1,103,52,32,19,69,128.62,25.89,20.28,174.79,Sabado,5,144.23,136.81,126.05714285714285,40.86,28.75,29.132857142857144,10.82,9.39,9.235714285714286
2014-06-01,6,1,102,50,34,18,74,51.0,11.87,2.82,65.69,Domingo,6,128.62,34.0,128.4857142857143,25.89,21.73,27.724285714285717,20.28,6.39,8.725714285714286
2014-06-02,0,0,103,50,33,20,103,162.92,47.49,16.16,226.57,Lunes,6,51.0,125.63,133.81285714285713,11.87,19.88,31.668571428571425,2.82,9.21,9.718571428571428
2014-06-03,1,0,102,48,35,19,102,165.71,20.03,11.69,197.43,Martes,6,162.92,196.87,129.36142857142858,47.49,34.92,29.541428571428572,16.16,0.25,11.352857142857143
2014-06-04,2,0,103,48,35,20,103,166.59,18.45,3.5,188.54,Miercoles,6,165.71,72.32,142.82857142857142,20.03,25.22,28.574285714285715,11.69,4.45,11.217142857142857
2014-06-05,3,0,103,47,34,22,103,156.71,12.12,1.82,170.65,Jueves,6,166.59,180.73,139.39714285714285,18.45,35.43,25.244285714285713,3.5,13.25,9.584285714285715
